Source,Target,Weight
NCBITaxon:165179,MONDO:0011382,1
NCBITaxon:442,MONDO:0015183,1
NCBITaxon:187327,MONDO:0005260,1
NCBITaxon:165179,MONDO:0005148,1
NCBITaxon:1496,MONDO:0024388,1
NCBITaxon:97478,MONDO:0009061,1
NCBITaxon:105841,MONDO:0008383,1
NCBITaxon:457412,MONDO:0010726,1
NCBITaxon:971,MONDO:0009861,1
NCBITaxon:312306,MONDO:0005154,1
NCBITaxon:1548,MONDO:0018076,1
NCBITaxon:644,MONDO:0015183,1
NCBITaxon:1226325,MONDO:0005148,1
NCBITaxon:405212,MONDO:0009061,1
NCBITaxon:28901,MONDO:0005148,1
NCBITaxon:729,MONDO:0009861,1
NCBITaxon:552396,MONDO:0005052,1
NCBITaxon:1744,MONDO:0015183,1
NCBITaxon:329,MONDO:0024388,1
NCBITaxon:1351,MONDO:0005052,1
NCBITaxon:1613,MONDO:0010726,1
NCBITaxon:658089,MONDO:0008383,1
NCBITaxon:665943,MONDO:0018076,1
NCBITaxon:1358,MONDO:0018076,1
NCBITaxon:1355477,MONDO:0005027,1
NCBITaxon:442,MONDO:0005147,1
NCBITaxon:615,MONDO:0005027,1
NCBITaxon:563193,MONDO:0008383,1
NCBITaxon:74426,MONDO:0005101,2
NCBITaxon:1265,MONDO:0011382,1
NCBITaxon:644,MONDO:0005147,1
NCBITaxon:1265,MONDO:0005148,1
NCBITaxon:542,MONDO:0009061,1
NCBITaxon:1515,MONDO:0005052,1
NCBITaxon:585544,MONDO:0011382,1
NCBITaxon:178606,MONDO:0005027,1
NCBITaxon:84112,MONDO:0011382,1
NCBITaxon:92945,MONDO:0005027,1
NCBITaxon:585544,MONDO:0005148,1
NCBITaxon:84112,MONDO:0005148,1
NCBITaxon:255723,MONDO:0008383,1
NCBITaxon:1744,MONDO:0005147,1
NCBITaxon:1490,MONDO:0005052,1
NCBITaxon:210,MONDO:0005052,1
NCBITaxon:1580,MONDO:0008383,1
NCBITaxon:384,MONDO:0005027,1
NCBITaxon:28116,MONDO:0005027,1
NCBITaxon:552396,MONDO:0024388,1
NCBITaxon:546,MONDO:0008383,1
NCBITaxon:1829,MONDO:0010726,1
NCBITaxon:1351,MONDO:0024388,1
NCBITaxon:411484,MONDO:0010726,1
NCBITaxon:820,MONDO:0005260,1
NCBITaxon:29347,MONDO:0005148,1
NCBITaxon:1515,MONDO:0024388,1
NCBITaxon:550,MONDO:0005260,1
NCBITaxon:29385,MONDO:0008383,1
NCBITaxon:1519,MONDO:0005101,1
NCBITaxon:40518,MONDO:0008383,1
NCBITaxon:457390,MONDO:0005027,1
NCBITaxon:457395,MONDO:0018076,1
NCBITaxon:1490,MONDO:0024388,1
