id,type,node_color
PUBCHEM.COMPOUND:1103,metabolite,green
PUBCHEM.COMPOUND:11096158,metabolite,green
PUBCHEM.COMPOUND:111299,metabolite,green
PUBCHEM.COMPOUND:11163,metabolite,green
PUBCHEM.COMPOUND:1117,metabolite,green
PUBCHEM.COMPOUND:1123,metabolite,green
PUBCHEM.COMPOUND:1131,metabolite,green
PUBCHEM.COMPOUND:11333,metabolite,green
PUBCHEM.COMPOUND:1135,metabolite,green
PUBCHEM.COMPOUND:1136,metabolite,green
PUBCHEM.COMPOUND:1145,metabolite,green
PUBCHEM.COMPOUND:1146,metabolite,green
PUBCHEM.COMPOUND:1150,metabolite,green
PUBCHEM.COMPOUND:115089,metabolite,green
PUBCHEM.COMPOUND:11671,metabolite,green
PUBCHEM.COMPOUND:1169,metabolite,green
PUBCHEM.COMPOUND:1174,metabolite,green
PUBCHEM.COMPOUND:1175,metabolite,green
PUBCHEM.COMPOUND:1176,metabolite,green
PUBCHEM.COMPOUND:11850,metabolite,green
PUBCHEM.COMPOUND:1188,metabolite,green
PUBCHEM.COMPOUND:119,metabolite,green
PUBCHEM.COMPOUND:11970,metabolite,green
PUBCHEM.COMPOUND:1198,metabolite,green
PUBCHEM.COMPOUND:12122,metabolite,green
PUBCHEM.COMPOUND:122356,metabolite,green
PUBCHEM.COMPOUND:12358756,metabolite,green
PUBCHEM.COMPOUND:123689,metabolite,green
PUBCHEM.COMPOUND:123743,metabolite,green
PUBCHEM.COMPOUND:123831,metabolite,green
PUBCHEM.COMPOUND:123938,metabolite,green
PUBCHEM.COMPOUND:124886,metabolite,green
PUBCHEM.COMPOUND:125,metabolite,green
PUBCHEM.COMPOUND:12587,metabolite,green
PUBCHEM.COMPOUND:12591,metabolite,green
PUBCHEM.COMPOUND:12594,metabolite,green
PUBCHEM.COMPOUND:126,metabolite,green
PUBCHEM.COMPOUND:12647,metabolite,green
PUBCHEM.COMPOUND:127,metabolite,green
PUBCHEM.COMPOUND:128841,metabolite,green
PUBCHEM.COMPOUND:128869,metabolite,green
PUBCHEM.COMPOUND:135,metabolite,green
PUBCHEM.COMPOUND:135191,metabolite,green
PUBCHEM.COMPOUND:137,metabolite,green
PUBCHEM.COMPOUND:13711,metabolite,green
PUBCHEM.COMPOUND:13712,metabolite,green
PUBCHEM.COMPOUND:13730,metabolite,green
PUBCHEM.COMPOUND:138,metabolite,green
PUBCHEM.COMPOUND:13849,metabolite,green
PUBCHEM.COMPOUND:13945,metabolite,green
PUBCHEM.COMPOUND:145068,metabolite,green
PUBCHEM.COMPOUND:145742,metabolite,green
PUBCHEM.COMPOUND:14925,metabolite,green
PUBCHEM.COMPOUND:150929,metabolite,green
PUBCHEM.COMPOUND:151138,metabolite,green
PUBCHEM.COMPOUND:1549098,metabolite,green
PUBCHEM.COMPOUND:157,metabolite,green
PUBCHEM.COMPOUND:158980,metabolite,green
PUBCHEM.COMPOUND:160556,metabolite,green
PUBCHEM.COMPOUND:160603,metabolite,green
PUBCHEM.COMPOUND:160645,metabolite,green
PUBCHEM.COMPOUND:160666,metabolite,green
PUBCHEM.COMPOUND:161166,metabolite,green
PUBCHEM.COMPOUND:161234,metabolite,green
PUBCHEM.COMPOUND:165271,metabolite,green
PUBCHEM.COMPOUND:1662,metabolite,green
PUBCHEM.COMPOUND:1669,metabolite,green
PUBCHEM.COMPOUND:169019,metabolite,green
PUBCHEM.COMPOUND:16950,metabolite,green
PUBCHEM.COMPOUND:171548,metabolite,green
PUBCHEM.COMPOUND:1738,metabolite,green
PUBCHEM.COMPOUND:1738118,metabolite,green
PUBCHEM.COMPOUND:17513,metabolite,green
PUBCHEM.COMPOUND:176,metabolite,green
PUBCHEM.COMPOUND:177,metabolite,green
PUBCHEM.COMPOUND:178,metabolite,green
PUBCHEM.COMPOUND:179,metabolite,green
PUBCHEM.COMPOUND:180,metabolite,green
PUBCHEM.COMPOUND:18189,metabolite,green
PUBCHEM.COMPOUND:181976,metabolite,green
PUBCHEM.COMPOUND:182230,metabolite,green
PUBCHEM.COMPOUND:1826,metabolite,green
PUBCHEM.COMPOUND:187,metabolite,green
PUBCHEM.COMPOUND:190,metabolite,green
PUBCHEM.COMPOUND:193530,metabolite,green
PUBCHEM.COMPOUND:193872,metabolite,green
PUBCHEM.COMPOUND:196,metabolite,green
PUBCHEM.COMPOUND:1983,metabolite,green
PUBCHEM.COMPOUND:199,metabolite,green
PUBCHEM.COMPOUND:204,metabolite,green
PUBCHEM.COMPOUND:21236,metabolite,green
PUBCHEM.COMPOUND:21706,metabolite,green
PUBCHEM.COMPOUND:221122,metabolite,green
PUBCHEM.COMPOUND:221493,metabolite,green
PUBCHEM.COMPOUND:222,metabolite,green
PUBCHEM.COMPOUND:222285,metabolite,green
PUBCHEM.COMPOUND:222528,metabolite,green
PUBCHEM.COMPOUND:222656,metabolite,green
PUBCHEM.COMPOUND:227,metabolite,green
PUBCHEM.COMPOUND:23327,metabolite,green
PUBCHEM.COMPOUND:239,metabolite,green
PUBCHEM.COMPOUND:240,metabolite,green
PUBCHEM.COMPOUND:243,metabolite,green
PUBCHEM.COMPOUND:244,metabolite,green
PUBCHEM.COMPOUND:246983,metabolite,green
PUBCHEM.COMPOUND:25310,metabolite,green
PUBCHEM.COMPOUND:261,metabolite,green
PUBCHEM.COMPOUND:263,metabolite,green
PUBCHEM.COMPOUND:264,metabolite,green
PUBCHEM.COMPOUND:26623,metabolite,green
PUBCHEM.COMPOUND:27099,metabolite,green
PUBCHEM.COMPOUND:2724705,metabolite,green
PUBCHEM.COMPOUND:27284,metabolite,green
PUBCHEM.COMPOUND:273,metabolite,green
PUBCHEM.COMPOUND:2733768,metabolite,green
PUBCHEM.COMPOUND:27476,metabolite,green
PUBCHEM.COMPOUND:27854,metabolite,green
PUBCHEM.COMPOUND:280,metabolite,green
PUBCHEM.COMPOUND:284,metabolite,green
PUBCHEM.COMPOUND:2879,metabolite,green
PUBCHEM.COMPOUND:289,metabolite,green
PUBCHEM.COMPOUND:2969,metabolite,green
PUBCHEM.COMPOUND:297,metabolite,green
PUBCHEM.COMPOUND:29936,metabolite,green
PUBCHEM.COMPOUND:3032849,metabolite,green
PUBCHEM.COMPOUND:3037582,metabolite,green
PUBCHEM.COMPOUND:305,metabolite,green
PUBCHEM.COMPOUND:311,metabolite,green
PUBCHEM.COMPOUND:312,metabolite,green
PUBCHEM.COMPOUND:31260,metabolite,green
PUBCHEM.COMPOUND:31401,metabolite,green
PUBCHEM.COMPOUND:32051,metabolite,green
PUBCHEM.COMPOUND:328,metabolite,green
PUBCHEM.COMPOUND:33032,metabolite,green
PUBCHEM.COMPOUND:33037,metabolite,green
PUBCHEM.COMPOUND:335,metabolite,green
PUBCHEM.COMPOUND:338,metabolite,green
PUBCHEM.COMPOUND:339,metabolite,green
PUBCHEM.COMPOUND:348154,metabolite,green
PUBCHEM.COMPOUND:370,metabolite,green
PUBCHEM.COMPOUND:3744,metabolite,green
PUBCHEM.COMPOUND:3776,metabolite,green
PUBCHEM.COMPOUND:379,metabolite,green
PUBCHEM.COMPOUND:3845,metabolite,green
PUBCHEM.COMPOUND:3848,metabolite,green
PUBCHEM.COMPOUND:385,metabolite,green
PUBCHEM.COMPOUND:387316,metabolite,green
PUBCHEM.COMPOUND:3893,metabolite,green
PUBCHEM.COMPOUND:402,metabolite,green
PUBCHEM.COMPOUND:428,metabolite,green
PUBCHEM.COMPOUND:43,metabolite,green
PUBCHEM.COMPOUND:439153,metabolite,green
PUBCHEM.COMPOUND:439155,metabolite,green
PUBCHEM.COMPOUND:439174,metabolite,green
PUBCHEM.COMPOUND:439176,metabolite,green
PUBCHEM.COMPOUND:439184,metabolite,green
PUBCHEM.COMPOUND:439194,metabolite,green
PUBCHEM.COMPOUND:439213,metabolite,green
PUBCHEM.COMPOUND:439224,metabolite,green
PUBCHEM.COMPOUND:439230,metabolite,green
PUBCHEM.COMPOUND:439232,metabolite,green
PUBCHEM.COMPOUND:439233,metabolite,green
PUBCHEM.COMPOUND:439242,metabolite,green
PUBCHEM.COMPOUND:439246,metabolite,green
PUBCHEM.COMPOUND:439255,metabolite,green
PUBCHEM.COMPOUND:439258,metabolite,green
PUBCHEM.COMPOUND:439260,metabolite,green
PUBCHEM.COMPOUND:439278,metabolite,green
PUBCHEM.COMPOUND:439280,metabolite,green
PUBCHEM.COMPOUND:439283,metabolite,green
PUBCHEM.COMPOUND:439377,metabolite,green
PUBCHEM.COMPOUND:439498,metabolite,green
PUBCHEM.COMPOUND:439709,metabolite,green
PUBCHEM.COMPOUND:439750,metabolite,green
PUBCHEM.COMPOUND:439764,metabolite,green
PUBCHEM.COMPOUND:439924,metabolite,green
PUBCHEM.COMPOUND:440776,metabolite,green
PUBCHEM.COMPOUND:440873,metabolite,green
PUBCHEM.COMPOUND:441484,metabolite,green
PUBCHEM.COMPOUND:444173,metabolite,green
PUBCHEM.COMPOUND:444266,metabolite,green
PUBCHEM.COMPOUND:444305,metabolite,green
PUBCHEM.COMPOUND:444718,metabolite,green
PUBCHEM.COMPOUND:444972,metabolite,green
PUBCHEM.COMPOUND:445354,metabolite,green
PUBCHEM.COMPOUND:445408,metabolite,green
PUBCHEM.COMPOUND:445638,metabolite,green
PUBCHEM.COMPOUND:445639,metabolite,green
PUBCHEM.COMPOUND:445858,metabolite,green
PUBCHEM.COMPOUND:450268,metabolite,green
PUBCHEM.COMPOUND:457,metabolite,green
PUBCHEM.COMPOUND:4615423,metabolite,green
PUBCHEM.COMPOUND:464,metabolite,green
PUBCHEM.COMPOUND:487,metabolite,green
PUBCHEM.COMPOUND:49,metabolite,green
PUBCHEM.COMPOUND:493570,metabolite,green
PUBCHEM.COMPOUND:496,metabolite,green
PUBCHEM.COMPOUND:500,metabolite,green
PUBCHEM.COMPOUND:51,metabolite,green
PUBCHEM.COMPOUND:515,metabolite,green
PUBCHEM.COMPOUND:5202,metabolite,green
PUBCHEM.COMPOUND:527,metabolite,green
PUBCHEM.COMPOUND:5280343,metabolite,green
PUBCHEM.COMPOUND:5280445,metabolite,green
PUBCHEM.COMPOUND:5280450,metabolite,green
PUBCHEM.COMPOUND:5280489,metabolite,green
PUBCHEM.COMPOUND:5280518,metabolite,green
PUBCHEM.COMPOUND:5280863,metabolite,green
PUBCHEM.COMPOUND:5280899,metabolite,green
PUBCHEM.COMPOUND:5280934,metabolite,green
PUBCHEM.COMPOUND:5280961,metabolite,green
PUBCHEM.COMPOUND:5281,metabolite,green
PUBCHEM.COMPOUND:5281708,metabolite,green
PUBCHEM.COMPOUND:5317750,metabolite,green
PUBCHEM.COMPOUND:5356793,metabolite,green
PUBCHEM.COMPOUND:5460362,metabolite,green
PUBCHEM.COMPOUND:5460935,metabolite,green
PUBCHEM.COMPOUND:5462244,metabolite,green
PUBCHEM.COMPOUND:546304,metabolite,green
PUBCHEM.COMPOUND:547,metabolite,green
