PUBCHEM.COMPOUND:175	NCBIGene:2260
PUBCHEM.COMPOUND:602	NCBIGene:5817
PUBCHEM.COMPOUND:5957	NCBIGene:162417
PUBCHEM.COMPOUND:5994	NCBIGene:7321
PUBCHEM.COMPOUND:6287	NCBIGene:6205
PUBCHEM.COMPOUND:5885	NCBIGene:200895
PUBCHEM.COMPOUND:92824	NCBIGene:2998
PUBCHEM.COMPOUND:60961	NCBIGene:593
PUBCHEM.COMPOUND:370	NCBIGene:3725
PUBCHEM.COMPOUND:174	NCBIGene:83698
PUBCHEM.COMPOUND:312	NCBIGene:51
PUBCHEM.COMPOUND:175	NCBIGene:27034
PUBCHEM.COMPOUND:175	NCBIGene:5889
PUBCHEM.COMPOUND:867	NCBIGene:6389
PUBCHEM.COMPOUND:199	NCBIGene:774
PUBCHEM.COMPOUND:6022	NCBIGene:8558
PUBCHEM.COMPOUND:1117	NCBIGene:81
PUBCHEM.COMPOUND:6022	NCBIGene:83547
PUBCHEM.COMPOUND:1117	NCBIGene:1488
PUBCHEM.COMPOUND:60961	NCBIGene:2152
PUBCHEM.COMPOUND:439503	NCBIGene:50836
PUBCHEM.COMPOUND:798	NCBIGene:2625
PUBCHEM.COMPOUND:887	NCBIGene:7299
PUBCHEM.COMPOUND:783	NCBIGene:128674
PUBCHEM.COMPOUND:5950	NCBIGene:55034
PUBCHEM.COMPOUND:8988	NCBIGene:2934
PUBCHEM.COMPOUND:145068	NCBIGene:3250
PUBCHEM.COMPOUND:753	NCBIGene:23193
PUBCHEM.COMPOUND:637517	NCBIGene:5375
PUBCHEM.COMPOUND:6131	NCBIGene:54101
PUBCHEM.COMPOUND:5280343	NCBIGene:3303
PUBCHEM.COMPOUND:1051	NCBIGene:2731
PUBCHEM.COMPOUND:12587	NCBIGene:1583
PUBCHEM.COMPOUND:6022	NCBIGene:56623
PUBCHEM.COMPOUND:643976	NCBIGene:4548
PUBCHEM.COMPOUND:702	NCBIGene:7157
PUBCHEM.COMPOUND:5957	NCBIGene:23411
PUBCHEM.COMPOUND:175	NCBIGene:29933
PUBCHEM.COMPOUND:311	NCBIGene:8556
PUBCHEM.COMPOUND:783	NCBIGene:221914
PUBCHEM.COMPOUND:312	NCBIGene:9152
PUBCHEM.COMPOUND:187	NCBIGene:259292
PUBCHEM.COMPOUND:187	NCBIGene:8620
PUBCHEM.COMPOUND:875	NCBIGene:5164
PUBCHEM.COMPOUND:177	NCBIGene:27232
PUBCHEM.COMPOUND:5957	NCBIGene:8907
PUBCHEM.COMPOUND:5951	NCBIGene:51752
PUBCHEM.COMPOUND:871	NCBIGene:4124
PUBCHEM.COMPOUND:107	NCBIGene:137362
PUBCHEM.COMPOUND:5962	NCBIGene:2693
PUBCHEM.COMPOUND:768	NCBIGene:1409
PUBCHEM.COMPOUND:985	NCBIGene:2879
PUBCHEM.COMPOUND:774	NCBIGene:3676
PUBCHEM.COMPOUND:29936	NCBIGene:7037
PUBCHEM.COMPOUND:5994	NCBIGene:1595
PUBCHEM.COMPOUND:753	NCBIGene:2982
PUBCHEM.COMPOUND:263	NCBIGene:118932
PUBCHEM.COMPOUND:312	NCBIGene:1852
PUBCHEM.COMPOUND:5957	NCBIGene:9040
PUBCHEM.COMPOUND:753	NCBIGene:78990
PUBCHEM.COMPOUND:5957	NCBIGene:10171
PUBCHEM.COMPOUND:5957	NCBIGene:5707
PUBCHEM.COMPOUND:6083	NCBIGene:9061
PUBCHEM.COMPOUND:753	NCBIGene:440387
PUBCHEM.COMPOUND:5957	NCBIGene:10273
PUBCHEM.COMPOUND:177	NCBIGene:5580
PUBCHEM.COMPOUND:294	NCBIGene:3960
PUBCHEM.COMPOUND:312	NCBIGene:1636
PUBCHEM.COMPOUND:283	NCBIGene:2262
PUBCHEM.COMPOUND:5957	NCBIGene:1051
PUBCHEM.COMPOUND:5962	NCBIGene:10652
PUBCHEM.COMPOUND:440936	NCBIGene:259294
PUBCHEM.COMPOUND:937	NCBIGene:2359
PUBCHEM.COMPOUND:312	NCBIGene:5652
